ID,state,count,lat,lon,soil_moisture,temperature,population,population_density,rainfall,voice,rule_of_law,regulatory_quality,goverment_effectiveness,HDI,road,area,road_density,cropland_pct,cropland_area,distance,corruption,rural_index,urban_index
1,"Ahuachapan, El Salvador",0,13.8575382,-89.9019089,0.0043277,-0.1596708,329368,696.5414619,1636.19806,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.644,158.8133998,472.8620162,0.335855692,44.6546822,65821,0.550528685,-0.5063251,16475.14788,409.289434
2,"Cabanas, El Salvador",271,13.8770266,-88.7088394,0.0039098,-0.2991664,162644,386.075961,1731.557374,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.643,112.3779303,421.2746102,0.26675695,50.2477188,66126,0.266654155,-0.5063251,9192.334085,226.972693
3,"Chalatenango, El Salvador",7,14.131176,-89.0746002,0.0068244,-0.2866462,193035,256.5630373,1941.01007,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.712,251.4202705,752.3881929,0.334162967,51.7544746,121416,0.283604847,-0.5063251,18449.60388,168.6812953
4,"Cuscatlan, El Salvador",0,13.8355951,-89.0200195,0.0041217,-0.2760874,238700,911.6782878,1660.490478,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.712,95.96524147,261.8248161,0.366524621,45.9438324,37628,0.141347367,-0.5063251,2616.454726,1437.868472
5,"La Libertad, El Salvador",1,13.704215,-89.3626556,0.0052143,-0.2021161,726606,1153.52206,1648.228454,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.712,252.3516206,629.9021277,0.400620365,43.7571144,86114,0.037955605,-0.5063251,1807.015224,17477.74947
6,"La Paz, El Salvador",0,13.4754448,-88.9641876,-0.0043538,-0.1533079,314400,692.8936885,1416.330048,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.643,153.4918973,453.7492623,0.338274704,46.1856842,65168,0.122496045,-0.5063251,3987.903946,1644.168138
7,"La Union, El Salvador",0,13.5284252,-87.892067,0.0052854,-0.3894029,257466,335.2406767,1512.900146,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.633,224.949939,768.0034612,0.292902246,51.1569023,122265,1.186390022,-0.5063251,74830.59067,72.14459706
8,"Morazan, El Salvador",3,13.7664518,-88.1067505,0.0029619,-0.3588164,191354,394.2543512,1661.686706,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.633,151.2710652,485.3567232,0.311669867,49.8910179,75535,0.934319292,-0.5063251,35586.84285,79.89050712
9,"San Miguel, El Salvador",2,13.5360765,-88.2546921,0.0049876,-0.2975013,459520,574.0746843,1603.784729,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.633,357.8553213,800.4533427,0.447065809,53.2852554,132627,0.678926511,-0.5063251,48686.87447,382.9128285
10,"San Salvador, El Salvador",54,13.7632856,-89.1654282,0.0024718,-0.2448251,1676985,4701.929573,1631.020202,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.712,188.6795293,356.6588938,0.529019555,41.3733101,45883,0,-0.5063251,189.8331587,788506.5365
11,"San Vicente, El Salvador",1,13.6013451,-88.7211075,0.0005709,-0.2199092,171554,367.5439311,1591.196594,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.643,190.201773,466.757809,0.407495642,47.6013756,69260,0.316441676,-0.5063251,10762.36184,193.1543556
12,"Santa Ana, El Salvador",0,14.1176052,-89.5051575,0.0083432,-0.2680733,560562,708.6573635,1698.099244,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.644,251.6892375,791.0197916,0.318183237,49.026371,120850,0.257331143,-0.5063251,15838.9343,1485.971236
13,"Sonsonate, El Salvador",2,13.6941729,-89.6842575,0.0058252,-0.1472886,446290,966.6610616,1679.099854,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.644,187.2769878,461.6819873,0.405640664,34.5433121,49846,0.238022571,-0.5063251,4270.566556,1739.402843
14,"Usulutan, El Salvador",0,13.384613,-88.4900589,0.0020072,-0.2029346,365932,479.3871957,1577.21228,0.1529633,-0.8558707,-0.1524985,-0.3656491,0.633,241.0472181,763.3328618,0.315782577,42.148632,100103,0.567745664,-0.5063251,24376.27111,303.6338068
15,"Alta Verapaz, Guatemala",122,15.63553327,-90.13243637,-0.002133,-0.0568458,1133564,292.2246398,2236.192382,-0.2812382,-1.059926,-0.255445,-0.6398038,0.574,2498.524922,3879.084258,0.64410174,29.1573772,355720,0.633561439,-0.7394416,66749.30574,514.7221563
16,"Baja Verapaz, Guatemala",0,15.10119718,-90.3710782,-0.000618,0.0465869,288720,265.3362641,1176.792114,-0.2812382,-1.059926,-0.255445,-0.6398038,0.574,759.1161772,1088.128684,0.697634561,31.536787,107162,0.253895356,-0.7394416,8918.462754,290.2964544
17,"Chimaltenango, Guatemala",0,14.69391257,-90.92037503,0.0036932,0.1106822,647543,890.5663708,1442.484833,-0.2812382,-1.059926,-0.255445,-0.6398038,0.663,596.4407473,727.11369,0.820285404,21.1807766,48038,0.233542767,-0.7394416,2478.004173,2367.879886
18,"Chiquimula, Guatemala",1,14.6901145,-89.41827525,0.0151387,-0.1964432,393873,427.8838239,1654.157226,-0.2812382,-1.059926,-0.255445,-0.6398038,0.644,744.8025894,920.5138826,0.809116086,36.5130348,105048,0.805351553,-0.7394416,31273.79767,206.6984293
19,"El Progreso, Guatemala",0,14.89484082,-90.08054763,0.0099444,-0.0720414,163389,251.1564706,1185.476257,-0.2812382,-1.059926,-0.255445,-0.6398038,0.644,504.3787348,650.5466477,0.775315247,40.2212944,81971,0.235560218,-0.7394416,8096.070596,167.1125922
